ID,Warehouse_block,Mode_of_Shipment,Customer_id,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,4,Flight,K23502485,4,2,177,3,low,F,44,1233,1
2,,Flight,L12998139,4,5,216,2,low,M,59,3088,1
3,1,Flight,E35302256,2,2,183,4,low,M,48,3374,1
4,2,Flight,D59126482,3,3,176,4,medium,M,10,1177,1
5,3,Flight,P10838373,2,2,184,3,medium,F,46,2484,1
6,5,Flight,O58900845,3,1,162,3,medium,F,12,1417,1
7,4,Flight,C45454658,3,4,250,3,low,F,3,2371,1
8,5,Flight,S47726771,4,1,233,2,low,F,48,2804,1
9,1,Flight,I43958986,3,4,150,3,low,F,11,1861,1
10,2,Flight,M15416937,,2,164,3,medium,F,29,1187,1
11,3,Flight,B21077331,3,4,189,2,medium,M,12,2888,1
12,5,Flight,D35383664,4,5,232,3,medium,F,32,3253,1
13,4,Flight,Q57521152,3,5,198,3,medium,F,1,,1
14,5,Flight,S40916234,4,4,275,3,high,M,29,2602,1
15,,Flight,E30460913,4,3,152,3,low,M,43,1009,1
16,2,Flight,W38368001,4,3,227,3,low,F,45,2707,1
17,3,Flight,E50630303,3,4,143,2,medium,F,6,1194,1
18,5,Ship,L23254586,5,5,227,3,medium,M,36,3952,1
19,4,Ship,A25435936,5,5,239,3,high,M,18,2495,1
20,5,Ship,X13378446,4,5,145,3,medium,M,45,1059,1
21,1,Ship,D58261498,3,3,161,2,medium,F,38,1521,1
22,2,Ship,F13086604,3,1,232,4,medium,F,51,2899,1
23,3,Ship,E17165340,2,5,156,2,low,M,2,1750,1
24,5,Ship,R24128482,4,3,211,3,high,M,12,3922,1
25,4,Ship,W10918176,4,5,251,2,medium,F,28,3561,1
26,5,Ship,P18864429,3,1,225,4,low,M,29,3496,1
27,1,Ship,Y56324240,4,1,172,3,high,F,24,1066,1
28,2,Ship,T41576085,5,1,162,3,medium,M,31,1435,1
29,3,Ship,G51841839,2,3,234,4,low,M,44,3134,1
30,5,Ship,V44003637,5,4,183,2,low,F,36,3819,1
31,4,Ship,B10166097,3,4,266,2,medium,F,38,2741,1
32,5,Ship,C59548403,5,3,257,2,low,F,61,3341,1
33,1,Ship,N11348045,3,1,223,3,low,F,22,3795,1
34,2,Ship,X55361969,4,2,234,3,medium,M,4,3261,1
35,3,Ship,K32710263,4,2,227,4,medium,F,22,2460,1
36,5,Ship,L28269984,5,4,149,3,medium,F,44,1811,1
37,4,Ship,E14753401,3,5,137,4,high,F,62,1477,1
38,5,Ship,D30450842,2,4,181,6,medium,F,16,3605,1
39,1,Ship,P49677130,5,1,215,4,low,F,56,3905,1
40,2,Ship,O10448933,4,2,269,5,low,F,45,2383,1
41,3,Ship,C30892539,5,1,227,2,low,M,15,3798,1
42,5,Ship,S21501420,5,5,139,4,medium,M,61,1265,1
43,4,Ship,I50040679,3,5,137,2,medium,M,38,1647,1
44,5,Ship,M58720753,3,1,174,2,low,M,44,1556,1
45,1,Ship,B57356830,3,1,151,2,low,M,29,1328,1
46,2,Ship,D39936624,5,1,210,3,low,F,9,2944,1
47,3,Ship,Q59556554,3,4,169,4,medium,F,32,1245,1
48,5,Ship,S21010081,5,1,160,2,low,M,32,1576,1
49,4,Ship,E26049439,5,4,190,2,medium,M,9,3753,1
50,5,Ship,W40660472,5,3,216,3,low,F,40,2146,1
51,1,Ship,E48004585,,1,183,3,low,M,37,2042,1
52,2,Ship,L34372179,4,4,141,3,low,M,22,1735,1
53,3,Ship,A27307390,4,3,165,3,low,F,44,1320,1
54,5,Ship,X11419572,2,1,170,3,low,M,41,1128,1
55,4,Ship,D18907909,4,3,203,3,high,M,12,3539,1
56,5,Ship,F47885775,2,5,246,5,low,M,46,2437,1
57,1,Ship,E47685384,3,3,238,3,low,F,61,3096,1
58,2,Ship,R32569371,3,3,193,3,medium,F,29,3453,1
59,3,Ship,W49354922,5,5,141,3,high,M,41,1367,1
60,5,Ship,P52009155,4,1,150,3,high,F,17,,1
61,4,Ship,Y34229188,3,1,221,3,low,F,64,2794,1
62,5,Ship,T13609072,3,3,179,3,medium,M,52,1158,1
63,1,Ship,G22163796,5,1,105,6,medium,M,62,1292,1
64,2,Ship,V30511053,3,1,177,3,medium,M,61,1880,1
65,3,Ship,B21530891,4,5,261,2,high,M,49,3045,1
66,5,Ship,C30246399,3,2,202,3,low,M,49,2881,1
67,4,Ship,N36935563,3,2,109,3,medium,F,15,1710,1
68,5,Ship,X54772224,3,3,158,3,low,F,6,1878,1
69,1,Ship,K54162718,4,2,231,4,medium,F,6,2512,1
70,2,Ship,L32411455,3,5,206,3,medium,M,39,2929,1
71,3,Ship,E17173079,5,1,187,4,high,M,14,3849,1
72,5,Ship,D55607874,5,5,230,2,low,F,2,2229,1
73,4,Ship,P53154489,5,5,232,3,medium,F,33,2998,1
74,5,Ship,O57689777,4,5,215,3,medium,F,21,3984,1
75,1,Ship,C56085619,6,1,238,6,low,F,13,2442,1
76,2,Ship,S24815111,4,1,266,3,low,F,23,3775,1
77,3,Ship,I58846893,2,3,158,2,medium,F,36,1788,1
78,5,Ship,M37214549,3,3,113,3,low,F,43,1518,1
79,4,Ship,B14692489,3,4,223,3,low,M,18,3959,1
80,5,Ship,D54052813,3,5,257,2,medium,F,56,3711,1
81,1,Ship,Q13926734,3,4,180,2,medium,F,49,1942,1
82,2,Ship,S34056063,2,5,132,3,low,M,18,1759,1
83,3,Ship,E43165702,4,4,217,3,high,F,26,2875,1
84,5,Ship,W55135937,5,5,162,3,high,F,31,1364,1
85,4,Ship,E20657911,4,5,197,2,medium,F,40,2710,1
86,5,Ship,L30485899,3,4,197,3,medium,M,13,2148,1
87,1,Ship,A55440386,4,1,185,2,low,M,44,2910,1
88,2,Ship,X21147612,6,2,278,3,medium,F,3,2974,1
89,3,Ship,D59057682,3,3,229,3,low,M,49,2339,1
90,5,Ship,F18332603,4,1,186,4,medium,F,57,3880,1
91,4,Ship,E34730694,5,3,174,6,high,F,41,1085,1
92,5,Ship,R58971938,5,5,286,3,low,F,18,3163,1
93,1,Ship,W35129831,4,4,175,2,medium,F,7,1188,1
94,2,Ship,P12287050,3,3,219,3,medium,F,17,3387,1
95,3,Ship,Y14256287,4,1,213,4,high,F,35,2343,1
96,5,Ship,T47236141,2,3,235,3,low,M,57,2034,1
97,4,Ship,G11786579,3,3,149,2,medium,M,18,1225,1
98,5,Ship,V17956294,4,1,271,2,medium,F,8,2401,1
99,1,Ship,B54977966,3,5,144,4,medium,M,5,1104,1
100,2,Ship,C34745558,4,2,145,2,medium,M,21,1617,1
101,3,Ship,N21287861,5,3,143,2,medium,M,59,1837,1
